Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
2.326050043,-2.920950174,9.195000648
1.905000091,-3.036000252,9.193050385
1.905000091,-2.806050062,9.157950401
2.020050049,-2.538000107,9.184950829
1.713000059,-2.767950058,9.265050888
1.828050137,-2.845050097,9.286950111
1.94295013,-2.653050184,9.264000893
1.905000091,-2.730000019,9.30600071
1.94295013,-2.767950058,9.241950035
2.058000088,-2.767950058,9.274950027
2.25,-2.806050062,9.210000038
2.095950127,-2.883000135,9.226050377
2.095950127,-2.806050062,9.223050117
2.134950161,-2.806050062,9.214050293
1.905000091,-2.61495018,9.277950287
2.020050049,-2.61495018,9.232950211
1.67505002,-2.308050156,9.270000458
3.361050129,-3.073950052,9.157950401
3.781950235,-2.538000107,9.793050766
4.816050053,-2.653050184,10.54500008
4.969050407,-2.077950001,10.12395
4.08795023,-2.232000113,10.04700089
4.08795023,-2.308050156,10.00905037
3.973050117,-2.232000113,10.04700089
4.394999981,-1.734000087,10.12395
4.050000191,-1.351050019,10.00905037
4.43295002,-1.504050016,9.30300045
5.697000504,-1.159050107,8.581950188
5.16105032,-1.465950012,8.197950363
5.7739501,-1.426950097,8.430000305
5.581950188,-1.465950012,8.513999939
5.544000149,-1.2739501,8.647950172
5.391000271,-1.197000027,8.61495018
5.199000359,-1.04400003,8.370000839
5.353050232,-1.04400003,8.194050789
5.544000149,-0.9679500461,8.089050293
5.391000271,-0.6990000606,8.161950111
6.004050255,-0.5460000038,8.050050735
8.226000786,-1.081950068,8.782950401
6.157050133,-0.7759500146,6.369000435
6.079950333,-0.8910000324,6.369000435
6.042000294,-1.2739501,7.251000404
7.918950558,-0.5460000038,7.327050209
9.222000122,-0.1630500108,6.906000137
6.961950302,-0.3160500228,6.255000114
9.451950073,0.2959500253,6.178050518
8.302050591,-0.5460000038,4.684050083
8.071949959,-1.04400003,4.684050083
9.604950905,-1.312050104,3.68805027
8.839050293,-0.9679500461,2.385000229
9.145050049,-2.155050039,2.34705019
8.647050858,-2.538000107,2.34705019
7.84305048,-4.032000065,1.618950129
9.490050316,-5.908950329,3.68805027
11.2140007,-8.016000748,3.68805027
8.11095047,-3.18900013,1.159050107
4.701000214,-5.833050251,2.959950209
7.267950535,-9.280050278,2.232000113
7.804050446,-9.702000618,3.535050154
7.230000496,-7.059000492,3.535050154
6.885000229,-7.020000458,2.461950064
4.242000103,-4.492050171,2.308950186
3.628950119,-2.959950209,2.385000229
6.616950512,-7.863000393,2.539050102
6.577950478,-7.939950466,1.543050051
6.808050156,-9.625050545,1.504050016
6.349050522,-9.394950867,1.465950012
4.701000214,-8.055000305,1.543050051
6.195000172,-8.092950821,1.696050048
6.387000084,-7.939950466,1.696050048
5.96505022,-8.629050255,1.657050133
5.620950222,-7.900950432,1.810950041
5.581950188,-6.714000225,1.399050117
6.693000317,-7.55700016,1.600050092
5.275950432,-7.174050331,1.840950131
6.118950367,-8.513999939,1.120950103
5.581950188,-8.398950577,0.541950047
4.816050053,-6.714000225,0.6330000162
6.310050488,-8.935950279,0.6070500016
6.004050255,-7.288050175,0.6559500098
5.96505022,-7.825050354,0.5539500117
5.42895031,-7.710000515,2.09100008
3.744000196,-8.361000061,1.888050079
2.211000204,-7.594950199,0.9300000668
2.287950039,-8.668050766,0.9300000668
6.808050156,-16.44404984,-0.2179500163
5.275950432,-11.31105042,-0.4099500179
2.824050188,-9.204000473,0.5470499992
1.177050114,-8.055000305,-0.2179500163
3.246000051,-10.27695084,0.2790000141
3.169050217,-9.394950867,0.3559500277
3.361050129,-8.974050522,0.4699500203
6.195000172,-8.513999939,0.6240000129
5.238000393,-9.241950035,0.3940500319
3.897000074,-9.204000473,0.700050056
3.705000162,-9.1270504,0.04905000329
5.697000504,-8.668050766,1.58100009
3.169050217,-9.280050278,0.5470499992
3.475050211,-9.012000084,0.5470499992
4.663050175,-8.935950279,0.5470499992
3.628950119,-9.204000473,0.6619500518
3.361050129,-8.974050522,0.77700001
5.467050076,-9.54900074,0.77700001
