Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
5.96505022,6.885000229,-3.172950268
6.195000172,6.616950512,-2.779050112
5.122950077,7.267950535,-3.849000216
4.740000248,7.34400034,-3.037950039
5.008050442,7.728000164,-2.950050116
5.353050232,7.153050423,-3.454950094
5.620950222,7.459050179,-3.652950287
5.889000416,7.230000496,-3.765000105
5.581950188,8.302050591,-3.400950193
7.651050568,8.302050591,-1.330950022
7.765950203,8.914950371,-1.768050075
6.118950367,10.17900085,-1.461000085
3.589950085,9.183000565,-1.423050046
1.483050108,7.996050358,-1.19295001
1.828050137,6.424950123,-0.6180000305
4.624950409,7.267950535,0.7980000377
7.420950413,8.953050613,-1.882950068
7.345050335,6.310050488,-1.500000119
7.075950146,6.157050133,0.4150500298
6.5020504,6.885000229,4.131000042
5.314050198,6.808050156,0.2230500132
2.479050159,7.383000374,-0.8479500413
1.560000062,6.885000229,0.2230500132
3.475050211,6.5020504,2.752050161
5.238000393,6.118950367,2.368950129
6.732000351,5.122950077,2.368950129
8.839050293,6.234000206,3.172950268
11.82705021,7.230000496,1.372950077
10.06500053,8.800050735,3.096000195
3.859050274,11.32905006,2.254050016
0.756000042,9.490050316,-0.5040000081
3.744000196,5.926950455,-1.117050052
5.046000004,4.585950375,-2.151000023
4.930950165,7.68900013,-2.113049984
10.71600056,-2.0400002,-1.155000091
-5.410950184,10.75395012,0.6450000405
5.697000504,6.732000351,-5.637000084
3.667050123,7.996050358,0.6829500198
4.701000214,7.765950203,0.4530000091
5.046000004,7.306050301,-0.6949500442
4.855050087,7.191000462,-1.270050049
4.855050087,7.765950203,-0.6949500442
4.816050053,8.569950104,-0.6949500442
4.663050175,8.187000275,-0.6949500442
5.851050377,8.187000275,-0.4759500325
4.663050175,7.651050568,-0.3619500101
6.693000317,8.11095047,-0.3139500022
6.76995039,9.222000122,-0.405000031
6.5020504,11.44305038,-0.2350500077
1.789950132,9.030000687,-2.035950184
-1.963050127,8.647050858,-2.611050129
6.004050255,9.412950516,-1.768050075
6.042000294,8.800050735,-1.959000111
8.263950348,5.236950397,-2.151000023
7.881000519,5.96505022,3.172950268
4.16505003,7.230000496,2.674950123
1.905000091,7.075950146,-0.3120000064
0.5640000105,6.616950512,-2.380950212
1.713000059,5.812050343,2.139000177
4.585950375,6.310050488,3.250050068
7.038000107,6.387000084,2.329950094
9.643050194,5.812050343,4.015950203
14.0869503,5.314050198,7.579050541
12.0180006,13.12905025,1.602000117
1.981050134,12.55395031,-1.500000119
-2.422950029,9.145050049,-1.690950036
1.789950132,5.199000359,-0.1590000093
4.816050053,4.624950409,-1.843950033
7.573950291,8.608950615,-3.376950264
5.391000271,6.424950123,-1.882950068
6.885000229,6.387000084,0.8749500513
4.203000069,8.723999977,1.411050081
3.934950113,7.728000164,0.6060000062
4.318050385,7.153050423,-1.270050049
4.357050419,7.804050446,-1.19295001
5.16105032,7.881000519,-0.886950016
5.314050198,7.728000164,-0.5040000081
5.544000149,8.877000809,-0.1590000093
4.969050407,8.800050735,-0.3499500155
4.855050087,6.885000229,-0.5479500294
5.199000359,6.271950245,0.4530000091
7.420950413,10.67700005,-1.998000145
4.126950264,9.910950661,2.368950129
9.375,7.68900013,2.674950123
12.43995094,4.08795023,-2.380950212
9.720000267,3.0160501,-5.713950157
8.226000786,6.693000317,-1.423050046
7.765950203,5.697000504,-0.3120000064
4.663050175,6.5020504,-5.484000206
4.969050407,7.612950325,-5.982000351
5.812050343,7.68900013,-0.886950016
5.353050232,8.263950348,-0.6949500442
6.157050133,7.536000252,-2.496000051
6.577950478,8.302050591,-1.615050077
4.510050297,7.881000519,-0.9630000591
3.207000256,7.11495018,0.1080000028
4.318050385,7.153050423,-0.006000000052
7.498050213,4.240950108,0.4150500298
10.75395012,5.122950077,1.564050078
8.723999977,6.655050278,-0.4270500243
8.608950615,13.70400047,1.984950066
2.403000116,12.93795109,-1.423050046
3.28395009,6.042000294,0.6829500198
2.862000227,5.199000359,0.184950009
4.08795023,6.885000229,-0.1200000048
6.118950367,8.800050735,-0.8479500413
5.42895031,6.348000526,-1.576050043
3.705000162,6.577950478,-0.006000000052
4.510050297,8.226000786,-0.4650000334
3.436950207,7.918950558,-1.615050077
3.667050123,7.957050323,0.1469999999
3.781950235,7.11495018,0.337950021
4.624950409,6.808050156,0.1080000028
4.585950375,6.96105051,-0.04395000264
2.403000116,7.153050423,-0.8230500221
3.0160501,5.199000359,0.2620500028
5.353050232,2.977050066,0.835950017
4.012050152,3.091950178,2.062050104
3.973050117,3.0160501,0.9510000348
6.310050488,5.96505022,-0.4650000334
7.459950447,1.522050023,10.22205067
5.42895031,4.394999981,-0.3889500201
6.885000229,7.383000374,2.062050104
10.75395012,11.2140007,0.3000000119
13.05300045,12.0180006,1.296000004
4.893000126,3.436950207,3.93900013
6.079950333,-5.028000355,-1.308000088
0.1429500133,22.28505135,-1.500000119
15.35100079,-1.197000027,13.44000053
7.804050446,2.364000082,14.32095051
10.56300068,-6.829050541,-12.64695072
15.69600105,0.4110000134,-1.345950007
17.84100151,7.957050323,-15.86505032
-2.500050068,4.930950165,-24.10200119
75.57195282,-13.64805031,12.09900093
10.44795036,-0.4699500203,-5.599050045
5.697000504,-3.610950232,1.411050081
2.709000111,-6.675000191,-5.445000172
7.075950146,5.391000271,-7.858950138
2.671050072,-2.653050184,-7.782000542
2.709000111,-1.734000087,-5.329950333
3.054000139,-0.5839500427,-10.84695053
7.651050568,0.6400500536,-10.4640007
8.992050171,0.6019500494,-11.72805023
5.353050232,0.1039500013,-11.72805023
-1.963050127,-2.575950146,-5.599050045
4.585950375,-8.323050499,-6.556050301
7.918950558,-0.6610500216,-7.552050591
7.728000164,-0.7759500146,-4.143000126
7.651050568,-1.2739501,-5.790000439
7.651050568,-1.351050019,-4.258049965
7.420950413,-1.2739501,-4.909050465
7.038000107,-1.236000061,-4.870950222
6.808050156,-0.4699500203,-4.75605011
6.387000084,-0.201000005,-7.974000454
6.5020504,-0.7380000353,-7.359000206
6.655050278,-0.7759500146,-7.122000217
6.693000317,-0.8910000324,-7.225050449
6.5020504,-0.3550500274,-7.201050282
6.577950478,-0.2779500186,-7.228050232
6.616950512,-0.4309500158,-7.276050568
6.616950512,-0.5460000038,-7.275000572
6.732000351,-0.6990000606,-7.243050575
6.808050156,-0.7380000353,-7.218000412
6.922950268,-0.7380000353,-7.108950138
6.808050156,-0.7759500146,-7.120950222
6.808050156,-0.5839500427,-7.09305048
6.84705019,-0.7759500146,-7.030950546
6.732000351,-0.7759500146,-7.084950447
6.577950478,-0.6229500175,-7.134000301
6.387000084,-0.6229500175,-7.24200058
6.540000439,-0.5839500427,-7.209000111
6.655050278,-0.6610500216,-7.24905014
6.76995039,-0.6610500216,-7.237950325
6.808050156,-0.7380000353,-7.170000553
6.079950333,-0.6990000606,-6.835950375
7.038000107,-0.8140500188,-6.898050308
7.153050423,-0.7380000353,-6.865950108
7.153050423,-0.7759500146,-6.808050156
7.230000496,-0.8140500188,-6.711000443
7.191000462,-0.8530500531,-6.690000534
7.267950535,-0.7380000353,-6.690000534
7.230000496,-0.6990000606,-6.706050396
7.038000107,-0.7380000353,-6.745950222
7.11495018,-0.6610500216,-6.777000427
7.038000107,-0.7759500146,-6.765000343
7.11495018,-0.6610500216,-6.763950348
7.153050423,-0.7380000353,-6.784050465
7.000050545,-0.6990000606,-6.790050507
7.038000107,-0.6990000606,-6.849000454
7.000050545,-0.7380000353,-6.832950115
7.075950146,-0.7380000353,-6.774000168
7.000050545,-0.6990000606,-6.795000553
7.000050545,-0.6990000606,-6.850950241
7.000050545,-0.7380000353,-6.873000145
7.038000107,-0.6990000606,-6.844050407
7.000050545,-0.7380000353,-6.826050282
6.961950302,-0.6610500216,-6.867000103
7.075950146,-0.7380000353,-6.862050533
7.038000107,-0.6610500216,-6.858000278
