Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0.6409500241,-7.978050232,1.624950051
-0.2779500186,-8.668050766,0.5520000458
-1.618950129,-6.943950176,0.3220500052
-1.236000061,-6.369000435,-0.09795000404
1.215000033,-8.13105011,-0.2130000144
4.930950165,-10.81305027,-1.936950088
7.459950447,-12.57495022,-6.724950314
3.744000196,-16.67400169,-7.261950493
2.977050066,-16.52099991,-5.0020504
-3.649050236,-4.453950405,2.353049994
-2.0400002,-3.073950052,2.812050104
-0.2400000095,-7.480050564,0.9349500537
5.008050442,-15.14205074,1.816050053
7.957950592,-11.38695049,4.459950447
3.130950212,-7.020000458,0.0540000014
1.138950109,-9.817050934,-1.860000134
1.828050137,-9.051000595,2.698050022
1.713000059,-9.051000595,3.042000055
0.9469500184,-9.433950424,2.467950106
0.3340500295,-9.241950035,2.122950077
1.981050134,-10.20000076,0.6289500594
2.938950062,-11.04300022,0.3220500052
4.624950409,-10.50600052,0.3610500097
3.361050129,-10.20000076,-1.438950062
5.083950043,-13.26495075,-0.5190000534
4.126950264,-12.15405083,-0.02100000158
-0.3160500228,-11.50200081,-0.2509500086
-1.579950094,-10.35300064,-1.438950062
1.713000059,-11.50200081,-2.740950108
-0.1249500066,-11.84700012,1.816050053
11.4820509,-12.53700066,6.106950283
4.08795023,-9.051000595,-2.703000069
1.177050114,-5.947950363,-0.1750500053
0.4870500267,-7.441950321,2.467950106
-1.081950068,-7.900950432,2.659050226
-1.887000084,-6.522000313,0.8970000148
-1.006049991,-7.480050564,-0.2899500132
1.828050137,-10.04700089,-2.550000191
7.230000496,-13.07295036,-5.230950356
6.271950245,-10.54500008,-7.912950516
1.905000091,-7.518000126,-5.7289505
-0.1630500108,-12.15405083,-2.740950108
-0.3930000067,-13.15005016,1.089000106
-2.500050068,-10.46805096,-2.511000156
1.828050137,-8.284049988,-1.438950062
2.977050066,-8.055000305,1.3950001
7.230000496,-10.08495045,6.298950195
5.314050198,-9.664050102,3.502050161
2.862000227,-10.12305069,-2.626050234
-2.193000078,-9.280050278,-4.84800005
0.4110000134,-9.394950867,-1.438950062
2.671050072,-9.54900074,1.96995008
3.934950113,-9.664050102,2.698050022
3.091950178,-9.54900074,1.930950046
1.67505002,-9.73995018,1.855050087
1.062000036,-11.08095074,-1.591950059
-0.2779500186,-11.11905098,-2.35800004
3.0160501,-9.73995018,-1.438950062
8.914950371,-12.2299509,-1.017000079
4.279950142,-11.11905098,-1.630050063
0.7170000076,-11.57895088,-2.550000191
2.211000204,-10.58295059,-2.089950085
5.238000393,-11.08095074,3.616950274
13.16805077,-12.72795105,8.712000847
6.195000172,-8.476050377,0.7440000176
2.632950068,-8.016000748,2.620950222
1.828050137,-8.706000328,4.383000374
2.25,-10.66005039,4.267950058
1.254000068,-11.23395061,1.816050053
1.138950109,-10.81305027,0.8200500607
1.368000031,-10.20000076,-0.2130000144
1.67505002,-9.702000618,0.09300000221
1.024049997,-8.361000061,0.283950001
2.556000233,-8.13105011,0.5910000205
4.318050385,-8.398950577,0.4759500325
4.242000103,-9.702000618,-0.06000000238
4.126950264,-9.204000473,-2.779950142
-0.3160500228,-14.6440506,-0.6340500116
0.02805000171,-15.10305119,-0.2130000144
-1.159050107,-7.55700016,-2.818050146
1.215000033,-7.480050564,-0.673050046
1.522050023,-8.668050766,0.3990000188
3.589950085,-12.2299509,2.659050226
4.279950142,-9.855000496,1.624950051
3.744000196,-7.978050232,0.01605000161
2.287950039,-9.012000084,0.667050004
2.632950068,-10.54500008,-0.2899500132
1.94295013,-9.433950424,0.5140500069
0.756000042,-9.855000496,2.314050198
-0.6229500175,-9.586950302,2.314050198
-1.963050127,-8.668050766,3.732000113
0.8320500255,-9.855000496,2.50605011
4.279950142,-11.34900093,0.7050000429
2.824050188,-10.12305069,-1.362000108
3.589950085,-10.46805096,-1.55400002
5.926950455,-12.84300041,1.663050056
2.671050072,-12.26895046,0.7050000429
-0.04800000042,-11.50200081,-1.899000049
-0.7759500146,-9.625050545,-1.975050092
0.1039500013,-9.625050545,-0.7489500642
0.756000042,-11.34900093,-0.673050046
2.287950039,-13.72395039,2.544000149
7.153050423,-10.54500008,6.412950516
1.597950101,-8.13105011,-1.055999994
0.6019500494,-7.059000492,0.9739500284
-0.08595000207,-7.978050232,1.050000072
-1.84800005,-7.402950287,-0.3280500174
-2.653050184,-6.790050507,-1.285950065
-0.2779500186,-7.096950531,-1.171050072
2.632950068,-8.245950699,-1.285950065
8.379000664,-12.80505085,-6.304050446
5.391000271,-11.57895088,-9.522000313
