AccelerationX,AccelerationY,AccelerationZ
-0.0572967529296875,-0.3002166748046875,-0.869964599609375
0.1042022705078125,-0.3767242431640625,-1.0720062255859375
0.1997528076171875,-0.5099029541015625,-0.977325439453125
0.249755859375,-0.381866455078125,-0.927825927734375
0.219757080078125,-0.3694915771484375,-0.9561614990234376
0.1951446533203125,-0.322479248046875,-0.7852630615234375
0.1697998046875,-0.3558807373046875,-0.98944091796875
0.05255126953125,-0.4009552001953125,-0.8079986572265625
0.0598297119140625,-0.280120849609375,-1.0289154052734375
-0.039337158203125,-0.35894775390625,-0.799896240234375
-0.2367706298828125,-0.1608123779296875,-0.87713623046875
-0.11810302734375,-0.20404052734375,-0.7461700439453125
-0.1952667236328125,-0.441436767578125,-0.530792236328125
-0.346466064453125,-0.1398773193359375,-0.56884765625
-0.479278564453125,-0.31036376953125,-0.4835205078125
-0.556671142578125,-0.22882080078125,-0.397125244140625
-0.6800384521484375,-0.253326416015625,-0.3448028564453125
-0.75860595703125,-0.4228363037109375,-0.3438873291015625
-0.8268890380859375,-0.42657470703125,-0.61993408203125
-1.056976318359375,-0.249755859375,-0.8536376953125
-1.518707275390625,0.2844390869140625,-0.714508056640625
-1.4452667236328125,0.00787353515625,-0.9058074951171876
-1.4332733154296875,-0.164154052734375,-0.8423614501953125
-1.634246826171875,-0.6913604736328125,-0.8215179443359375
-1.646636962890625,-1.137298583984375,-0.9447021484375
-0.895721435546875,-1.349853515625,-0.4083251953125
-0.304443359375,-1.199310302734375,-0.2066497802734375
0.15594482421875,-1.0221405029296875,0.166412353515625
-0.0277099609375,-0.7038116455078125,-0.1078033447265625
-0.2463226318359375,-0.6239471435546875,-0.21624755859375
-1.060211181640625,-0.9150543212890624,-0.29229736328125
-1.988739013671875,-1.111785888671875,0.2396087646484375
-2.6247100830078125,-1.54351806640625,0.1044769287109375
-3.2314453125,-1.23193359375,0.396148681640625
-2.319976806640625,-0.875396728515625,0.2588348388671875
-1.0463714599609375,-0.021087646484375,0.1464996337890625
-0.4309844970703125,0.1838531494140625,-0.3854217529296875
-0.3640594482421875,0.2931365966796875,-0.134063720703125
-0.16925048828125,0.441986083984375,0.0565338134765625
0.05596923828125,0.309539794921875,0.1499786376953125
0.11138916015625,0.30548095703125,0.4345703125
0.2478179931640625,0.1079559326171875,0.220855712890625
-0.40228271484375,0.136016845703125,0.047027587890625
-1.47344970703125,-0.0543670654296875,-0.4992218017578125
-2.361236572265625,-0.539703369140625,-1.5190887451171875
-2.469833374023437,-0.72674560546875,-1.0330810546875
-1.526031494140625,-0.86328125,-0.44927978515625
-0.8597259521484375,-0.874267578125,-0.8636474609375
-0.641937255859375,-0.959747314453125,-1.244415283203125
-0.2160797119140625,-1.1879730224609375,-1.089447021484375
-0.1408233642578125,-1.1623382568359375,-0.783294677734375
-0.2178802490234375,-0.8620452880859375,-0.9145965576171876
-0.5779571533203125,-0.6178741455078125,-0.9082183837890624
-0.79364013671875,-0.4809417724609375,-0.998016357421875
-0.7056884765625,-0.6446533203125,-1.1703033447265625
-0.84930419921875,-0.784149169921875,-1.6936492919921875
-1.269378662109375,-0.732177734375,-1.83984375
-0.75274658203125,-0.2866058349609375,-1.10723876953125
-0.1233673095703125,0.20611572265625,-0.637786865234375
0.207672119140625,0.85662841796875,0.035064697265625
0.250244140625,1.0538330078125,0.226531982421875
-0.123809814453125,1.2053375244140625,0.235595703125
-0.40509033203125,1.1674346923828125,0.2675323486328125
-0.8119049072265625,0.8284454345703125,0.7110595703125
-1.4495391845703125,0.54290771484375,0.9637298583984376
-2.611572265625,-0.28680419921875,0.5723724365234375
-4.1406097412109375,-1.202056884765625,0.36181640625
-4.1210784912109375,-1.882904052734375,0.3305816650390625
-2.1588897705078125,-1.7889556884765625,-0.5040435791015625
-1.073455810546875,-1.3709564208984375,-0.183929443359375
-0.4326934814453125,-1.05694580078125,-0.1304931640625
-0.3299560546875,-0.7108917236328125,-0.1906890869140625
-0.1524505615234375,-0.5391845703125,-0.0599365234375
-0.0710906982421875,-0.530670166015625,-0.0821380615234375
-0.481597900390625,-0.7093048095703125,-0.172882080078125
-0.593109130859375,-0.76153564453125,-0.4434967041015625
-1.4767303466796875,-1.1793365478515625,-1.3616485595703125
-3.6409759521484375,-1.8721771240234373,-1.193084716796875
-3.782440185546875,-1.3175506591796875,-0.259063720703125
-1.853363037109375,-0.2108306884765625,-0.00933837890625
-0.41253662109375,0.38421630859375,0.035400390625
0.0103912353515625,0.7063751220703125,0.214935302734375
0.174957275390625,0.5828704833984375,0.3044891357421875
0.0530853271484375,0.489105224609375,0.126312255859375
0.03265380859375,0.3878326416015625,0.0410614013671875
-0.0552520751953125,0.268798828125,0.04461669921875
-0.453887939453125,0.233062744140625,0.1466217041015625
-1.620361328125,0.174713134765625,0.5108184814453125
-3.9650726318359375,-0.259002685546875,1.0828857421875
-3.358673095703125,-0.943267822265625,0.597076416015625
-1.9535064697265625,-1.2774505615234375,0.043060302734375
-1.013458251953125,-1.2886505126953125,-0.181396484375
-0.2903594970703125,-1.3248291015625,-0.44976806640625
0.0135650634765625,-1.175872802734375,-0.575408935546875
0.076019287109375,-0.9719696044921876,-0.494415283203125
0.06756591796875,-0.9600067138671876,-0.361297607421875
-0.3545684814453125,-0.8839874267578125,-0.245880126953125
-1.0360565185546875,-1.0122833251953125,-0.0764007568359375
-2.5667877197265625,-1.3619384765625,0.096893310546875
-3.4718170166015625,-1.451385498046875,0.009490966796875
-2.4978790283203125,-1.0683135986328125,0.6571044921875
-1.2356414794921875,0.036346435546875,0.8352203369140625
-0.0226287841796875,0.8079681396484375,0.23223876953125
0.30596923828125,0.711273193359375,0.3489227294921875
0.214447021484375,0.710968017578125,0.4721527099609375
0.0016937255859375,0.6144561767578125,0.3486175537109375
-0.3644866943359375,0.5135955810546875,0.248992919921875
-1.14129638671875,-0.02288818359375,0.2755126953125
-2.8681182861328125,-0.9467926025390624,0.533477783203125
-2.94073486328125,-1.34991455078125,0.4518585205078125
-1.9605712890625,-1.21600341796875,-0.0135040283203125
-1.621551513671875,-1.382232666015625,0.1450042724609375
-1.003204345703125,-1.2419281005859375,0.081146240234375
-0.4823455810546875,-1.1104736328125,-0.16986083984375
-0.57537841796875,-1.232269287109375,-0.098663330078125
0.262939453125,-1.2078094482421875,-0.080596923828125
0.060302734375,-1.0268402099609375,-0.278076171875
-1.0179290771484375,-0.844482421875,-0.4405059814453125
-2.1875152587890625,-1.119476318359375,-0.5368804931640625
-2.6439971923828125,-1.159637451171875,0.13641357421875
-2.4239959716796875,-0.692413330078125,0.2876434326171875
-1.669158935546875,-0.3639984130859375,0.8298492431640625
-1.0255279541015625,-0.2455291748046875,0.8428802490234375
-0.58111572265625,0.2780609130859375,0.0923614501953125
-0.2544097900390625,0.4492950439453125,-0.0391082763671875
-0.0702362060546875,0.3650360107421875,0.0073394775390625
0.101165771484375,0.4508209228515625,0.030853271484375
0.048980712890625,0.4586334228515625,0.005126953125
-0.1633453369140625,0.2995758056640625,0.16534423828125
-0.82720947265625,-0.111297607421875,0.3547821044921875
-2.1147613525390625,-0.7870941162109375,0.2729949951171875
-3.1191558837890625,-1.01300048828125,0.2446136474609375
-1.89312744140625,-1.2429351806640625,0.253570556640625
-1.7123870849609375,-1.177764892578125,0.380645751953125
-1.001312255859375,-1.141143798828125,0.107086181640625
-0.960662841796875,-1.245361328125,-0.1713714599609375
-0.3099212646484375,-1.2929840087890625,-0.2265167236328125
0.0282135009765625,-1.2121124267578125,-0.38983154296875
-0.1856842041015625,-0.96990966796875,-0.1213836669921875
-0.450103759765625,-0.7823638916015625,-0.1833648681640625
-1.0438079833984375,-0.90972900390625,-0.2505035400390625
-2.060897827148437,-1.431671142578125,-0.2856597900390625
-2.60406494140625,-2.1085205078125,-0.332763671875
-3.0697174072265625,-1.2911834716796875,-0.2122344970703125
-1.173248291015625,-0.3012542724609375,-0.18328857421875
-0.5688629150390625,0.3870697021484375,-0.0349578857421875
-0.1929779052734375,0.5863037109375,0.162322998046875
0.075775146484375,0.814483642578125,0.103729248046875
