Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
4.855050087,7.573950291,-3.643050194
4.471050262,8.187000275,-3.531000137
3.934950113,8.071949959,-3.640950203
4.43295002,8.149050713,-3.59100008
4.740000248,7.536000252,-3.609000206
5.008050442,7.420950413,-3.628050089
4.43295002,7.765950203,-3.682950258
4.357050419,8.263950348,-3.691950083
4.16505003,8.494050026,-3.655950069
4.43295002,7.996050358,-3.652050257
4.548000336,7.957050323,-3.60495019
4.585950375,7.728000164,-3.610050201
4.893000126,7.996050358,-3.565950155
5.50605011,9.183000565,-1.780950069
5.926950455,9.183000565,-0.7030500174
4.318050385,8.532000542,-0.4500000179
2.824050188,8.034000397,-1.309950113
2.938950062,7.918950558,-0.02295000106
4.43295002,7.957050323,-0.02295000106
4.242000103,8.455050468,-0.751050055
3.436950207,8.992050171,-0.7900500298
2.479050159,8.149050713,-1.555950046
3.399000168,8.034000397,-0.292050004
5.42895031,9.145050049,-0.3679500222
5.008050442,7.765950203,0.9330000281
5.314050198,7.306050301,1.623000026
5.199000359,7.573950291,-0.1380000114
3.859050274,8.11095047,-0.1000500023
3.0160501,8.263950348,0.09105000645
3.667050123,8.034000397,1.08705008
5.391000271,6.922950268,1.929000139
6.310050488,6.348000526,1.8910501
5.275950432,6.118950367,1.776000142
4.16505003,6.079950333,1.699050069
4.855050087,6.387000084,1.699050069
5.275950432,7.153050423,1.699050069
6.693000317,6.922950268,1.929000139
7.383000374,7.230000496,2.083050013
6.5020504,7.383000374,2.809950113
4.471050262,11.94105053,0.6649500132
3.859050274,7.765950203,0.6270000339
7.000050545,6.157050133,2.389050007
5.122950077,8.800050735,-0.02295000106
4.16505003,7.230000496,-1.479000092
3.934950113,7.230000496,-1.441050053
4.777950287,7.11495018,0.1669500023
5.467050076,8.532000542,0.2050500065
4.318050385,8.149050713,-1.555950046
4.012050152,7.383000374,-1.59405005
4.16505003,7.918950558,-1.51695013
4.08795023,7.996050358,-1.441050053
3.628950119,8.494050026,-2.407950163
3.934950113,8.034000397,-3.151950121
4.510050297,8.11095047,-3.169050217
4.777950287,8.034000397,-2.494050026
4.740000248,7.881000519,-2.623950243
