Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
-3.265950203,2.556000233,8.74905014
-2.730000019,2.74695015,8.863950729
-2.844000101,2.556000233,8.480999947
-2.691000223,2.479050159,9.180000305
-2.883000135,2.74695015,9.115950584
-2.844000101,2.020050049,9.130949974
-2.193000078,0.9850500226,9.144000053
-1.2739501,0.6019500494,10.66695023
-1.197000027,1.522050023,7.906050205
-1.465050101,1.750950098,6.373950481
-2.346000195,1.330050111,7.255050182
-1.579950094,0.2959500253,9.131999969
-0.8140500188,0.1039500013,9.975000381
-0.8910000324,1.062000036,9.29295063
-1.504050016,1.866000056,8.872950554
-2.308050156,2.211000204,7.665000439
-2.844000101,2.518050194,7.293000221
-3.18900013,2.824050188,7.638000488
-3.151050091,3.0160501,7.332000256
-3.265950203,2.901000023,8.940000534
-3.496050119,2.403000116,9.630000114
-3.994050264,2.134050131,9.782999992
-4.18500042,1.560000062,9.247050285
-2.461050034,0.3340500295,9.387000084
-2.538000107,0.3340500295,10.43505096
-2.077950001,0.3340500295,9.169950485
-3.228000164,1.252950072,6.334950447
-4.18500042,1.483050108,6.028950214
-4.300050259,0.7939500213,6.297000408
-3.073950052,-0.1249500066,8.480999947
-1.84800005,0.1420500129,9.822000504
-1.924950123,1.215000033,8.365950584
-2.806050062,1.905000091,6.87195015
-3.342000246,2.287950039,6.87195015
-3.18900013,2.095950127,7.791000366
-3.151050091,2.211000204,7.830000401
-2.806050062,2.095950127,8.251049995
-3.151050091,2.248950005,9.285000801
-3.228000164,2.095950127,9.30300045
-3.228000164,2.403000116,9.229950905
-3.726000071,1.522050023,9.169950485
-2.538000107,-0.1630500108,11.32005024
-1.618950129,-0.8140500188,12.27300072
-2.308050156,0.1420500129,9.400050163
-3.687000275,0.6790500283,5.836950302
-4.683000088,0.6400500536,5.530950069
-2.575950146,-0.8530500531,8.212950706
-1.579950094,-0.6990000606,11.23905087
-1.887000084,0.5260500312,10.35795021
-2.920950174,1.713000059,8.05905056
-2.920950174,1.483050108,6.87195015
-2.883000135,1.368000031,7.06305027
-2.61495018,1.368000031,7.485000134
-2.575950146,1.291950107,7.561050415
-2.077950001,1.483050108,7.561050415
-1.695000052,1.291950107,8.911050797
-2.538000107,0.8700000644,9.447000504
-2.232000113,0.7170000076,9.463050842
-4.069950104,1.444950104,9.466050148
-3.916950226,-0.8910000324,11.46900082
-1.771950126,-2.767950058,11.62200069
-1.465050101,-1.887000084,9.782999992
-2.269950151,-0.5839500427,5.493000031
-3.879000187,-0.5460000038,4.573050022
-3.763950109,-2.116950035,5.454000473
-0.7759500146,-3.496050119,8.74905014
0.2959500253,-1.734000087,10.58805084
-1.120950103,0.9469500184,9.247050285
-1.236000061,1.444950104,7.408050537
-0.7759500146,1.291950107,7.369950294
-0.3930000067,1.138050079,10.43505096
0.1810500026,1.291950107,10.58805084
0.1429500133,1.062000036,10.47300053
-0.2400000095,1.215000033,10.77900028
-1.120950103,2.095950127,10.24305058
-2.767950058,1.789950132,9.131999969
-2.193000078,-0.6990000606,11.58405018
-1.504050016,-0.8530500531,12.00495052
-2.269950151,-0.3550500274,9.592050552
-3.073950052,0.2569500208,7.675950527
-2.538000107,-0.201000005,7.102050304
-2.193000078,-0.2400000095,7.293000221
-1.734000087,-0.3550500274,7.293000221
-0.9670500755,-0.2400000095,8.671050072
-1.006049991,0.6790500283,7.102950573
-1.81005013,1.024049997,6.340950489
-1.887000084,1.138050079,7.758000374
-1.924950123,1.291950107,8.788050652
-1.887000084,1.483050108,8.862000465
-1.465050101,1.560000062,9.855000496
-2.002050161,1.789950132,10.25700092
-2.767950058,2.095950127,9.984000206
-3.534000158,0.6400500536,11.10300064
-2.730000019,-0.8910000324,11.59305096
-1.350000024,-1.963950038,11.3539505
-1.542000055,-1.236000061,11.27700043
-3.342000246,0.4489500225,5.493000031
-4.912950039,1.099950075,3.844950199
-3.994050264,0.06599999964,3.538950205
-2.346000195,-1.120950103,6.067050457
-1.887000084,-0.9679500461,7.522950172
-2.193000078,-0.5460000038,5.875950336
-2.308050156,-0.2779500186,5.608050346
-2.308050156,-0.4699500203,3.960000277
-1.924950123,-0.7759500146,3.156000137
-2.232000113,-1.734000087,3.118050098
-3.534000158,-1.734000087,8.158050537
-3.95505023,-2.422950029,6.514050484
-3.95505023,-3.571950197,6.028950214
-4.990050316,-4.339050293,6.259050369
-6.331050396,-4.606950283,7.485000134
-9.817050934,-5.181000233,6.718950272
-9.970050812,-6.522000313,8.596050262
-6.943950176,-6.904950142,8.404050827
-4.606950283,-7.096950531,8.098050117
-2.730000019,-8.245950699,8.136000633
-1.504050016,-9.394950867,2.734050035
-3.304050207,-11.425951,3.691950083
-6.331050396,-12.72795105,3.385950089
-8.513999939,-10.69800091,3.079050064
-7.78605032,-11.9239502,2.926050186
-9.702000618,-17.74695015,0.09105000645
-11.31105042,-13.26495075,-2.628000021
-12.49800014,-17.55495071,-14.19705105
-15.56295109,-23.95305061,-13.12395096
-6.943950176,-30.77205086,-7.876050472
-9.547950745,-31.42305183,-4.083000183
6.042000294,-31.00095177,-5.041050434
13.01400089,-10.08495045,16.75500107
5.391000271,7.918950558,25.10700035
-8.782050133,9.528000832,-6.229050159
-16.90395164,-5.220000267,-16.95495033
-15.64005089,0.7170000076,3.118050098
-13.49400043,9.451050758,-1.440000057
-4.837050438,4.701000214,-6.304950237
-1.2739501,5.199000359,-3.316950083
1.138950109,5.926950455,-2.551050186
1.099950075,5.314050198,-2.436000109
5.42895031,2.785950184,-2.704050064
7.11495018,0.9469500184,-6.190050125
4.893000126,1.062000036,-4.696050167
4.126950264,-0.3930000067,-2.704050064
4.318050385,-1.924950123,-4.351950169
6.195000172,-3.571950197,-7.723050594
6.310050488,-4.951950073,-8.182050705
7.153050423,-6.714000225,-10.36605072
6.234000206,-7.174050331,-12.20505047
4.816050053,-9.472050667,-7.263000488
7.000050545,-10.31505013,-11.24700069
2.479050159,-6.522000313,-16.76399994
-0.04800000042,-8.13105011,-11.32395077
-1.734000087,-7.939950466,-6.649950504
-5.488050461,-5.947950363,-7.68405056
-8.896950722,-7.288050175,-8.910000801
-2.959050179,-8.743950844,-9.753000259
0.5640000105,-7.059000492,-10.82595062
-1.579950094,-6.100950241,-6.649950504
-3.496050119,-7.594950199,-7.455000401
