Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0.756000042,2.671050072,-2.49000001
-2.422950029,0.2190000117,-3.945000172
-7.135050297,0.06599999964,-6.244050503
-4.261950016,4.08795023,-1.455000043
0.756000042,-2.0400002,-1.378950119
0.5640000105,8.071949959,-6.129000187
0.2959500253,23.77905083,-19.80495071
3.399000168,14.01000023,-8.656949997
7.230000496,16.00200081,1.531950116
17.87895012,16.23195076,-9.883050919
9.490050316,8.302050591,-3.102000237
6.271950245,6.348000526,-3.025950193
3.514050245,2.058000088,-4.405050278
-1.081950068,-2.34705019,-4.060050011
-2.61495018,1.215000033,-3.984000206
3.322050095,12.2860508,-5.86095047
9.68100071,39.56205368,-9.232050896
9.873000145,17.41995049,-10.64895058
11.71200085,10.75395012,-5.821950436
7.075950146,7.306050301,-6.166950226
-0.1249500066,3.934950113,-2.911050081
-5.028000355,0.6400500536,-2.911050081
-6.100950241,-2.385000229,-5.323950291
0.2190000117,4.43295002,-3.217050076
2.479050159,-1.657050133,-3.294000149
5.851050377,7.459050179,-4.941000462
-8.016000748,25.04295158,-24.63195038
2.364000082,15.84900093,-12.56505013
8.226000786,17.45805168,-1.953000069
18.07095146,16.96005058,-5.668950081
9.10695076,8.071949959,-2.145000219
3.589950085,4.969050407,-2.145000219
0.9090000391,-1.542000055,-4.788000107
-1.84800005,-4.261950016,-3.409050226
-2.269950151,-0.1249500066,-3.25605011
0.9090000391,4.356000423,-4.327950001
9.183000565,23.08905029,-6.091050148
19.33500099,26.80500221,-9.883050919
11.29005051,14.0869503,-4.2520504
5.008050442,9.604950905,-4.59705019
1.636950135,-0.201000005,-4.2520504
0.7170000076,-7.365000248,-2.106000185
-4.875,-3.228000164,-2.106000185
-0.2779500186,11.29005051,3.792000294
31.70895195,22.36095047,-8.274000168
-4.606950283,0.8700000644,-6.282000065
-9.319050789,-5.028000355,-4.290000439
10.21800041,17.11305046,-4.405050278
1.444950104,0.8700000644,0.4210500121
-0.5080500245,0.2569500208,-1.494000077
12.32505035,7.573950291,-2.18295002
12.40095043,-3.036000252,-2.18295002
8.341050148,-4.108950138,-0.7270500064
6.234000206,7.651050568,-2.029950142
-2.691000223,20.10105133,-2.833950043
8.569950104,9.29805088,1.225050092
8.68500042,0.6400500536,1.225050092
7.765950203,5.96505022,-1.953000069
7.230000496,2.556000233,-3.639000177
6.157050133,6.271950245,-0.8419500589
16.57695007,31.82400131,-4.825950146
20.29305077,-5.87100029,-12.25800037
-4.875,8.723999977,-3.829950094
-10.54500008,9.796050072,-2.833950043
11.9419508,2.862000227,-2.413050175
23.43405151,6.042000294,-8.083050728
-0.8910000324,10.33305073,-1.225050092
7.000050545,6.463050365,-1.225050092
6.463950157,12.13305092,-0.6510000229
9.604950905,7.573950291,-1.915050149
9.757950783,7.34400034,0.2290500104
0.8700000644,8.340000153,-3.676950216
6.079950333,10.1029501,-3.064050198
7.075950146,8.340000153,-3.71505022
-0.1249500066,7.383000374,-3.639000177
5.199000359,6.234000206,-0.7660500407
1.483050108,4.777950287,-0.6889500618
1.866000056,4.585950375,2.413050175
3.82005024,4.969050407,1.647000074
-0.46905002,5.620950222,1.57005012
-4.300050259,7.765950203,-2.029950142
-9.0499506,7.498050213,-2.604000092
-3.916950226,7.230000496,-2.527950048
-4.53000021,6.540000439,-1.83795011
-6.177000523,8.263950348,0.3439500034
-6.751950264,9.067950249,0.0
-5.563950062,7.765950203,0.0
-4.912950039,7.11495018,0.0
-4.492050171,6.76995039,-0.07605000585
-4.377000332,6.732000351,-0.1140000075
-4.798050404,6.463050365,0.0
-4.912950039,6.463050365,0.07605000585
-5.449050426,6.004050255,0.6889500618
