Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
-0.6229500175,8.379000664,1.654050112
-1.924950123,7.881000519,0.1210500076
-0.5460000038,7.804050446,0.3889500201
-1.465050101,7.420950413,-0.4909500182
-1.81005013,7.038000107,-0.4909500182
-0.7759500146,7.536000252,-0.6820500493
-1.657050133,7.68900013,-1.792950034
-1.542000055,7.918950558,-1.027050018
-1.924950123,7.881000519,-5.767950058
-1.771950126,7.957050323,-5.722950459
-2.193000078,7.804050446,-5.584950447
-1.887000084,7.68900013,-5.626950264
-1.657050133,7.68900013,-5.674050331
-1.542000055,7.68900013,-5.785950184
-1.159050107,7.957050323,-5.806050301
-1.350000024,8.071949959,-5.632950306
-1.579950094,7.804050446,-5.668950081
-2.077950001,7.765950203,-5.740950108
-2.002050161,7.728000164,-5.644050121
-2.077950001,7.651050568,-5.68500042
-1.84800005,7.842000484,-5.719050407
-1.389000058,7.804050446,-5.767950058
-1.081950068,7.804050446,-5.781000137
-1.426950097,7.498050213,-5.889000416
-1.579950094,7.536000252,-5.929950237
-1.81005013,7.765950203,-5.896950245
-1.159050107,7.804050446,-5.920050144
-1.2739501,7.957050323,-5.805000305
-1.542000055,7.918950558,-5.751000404
-1.350000024,7.881000519,-5.736000061
-1.350000024,7.728000164,-5.817000389
-1.657050133,7.498050213,-5.883000374
-1.312050104,7.68900013,-5.869950294
-1.350000024,7.68900013,-5.929050446
-1.312050104,7.765950203,-5.926050186
-0.7759500146,7.918950558,-5.836950302
-1.312050104,7.728000164,-5.920950413
-1.159050107,7.459050179,-5.971050262
-1.389000058,7.191000462,-6.066000462
-1.81005013,7.038000107,-6.021000385
-1.84800005,7.11495018,-6.1039505
-1.465050101,7.267950535,-6.195000172
-1.197000027,7.459050179,-6.244050503
-1.504050016,7.306050301,-6.261000156
-1.159050107,7.459050179,-6.23595047
-1.504050016,7.075950146,-6.331050396
-1.312050104,6.96105051,-6.433050156
-1.120950103,6.846000195,-6.676050186
-1.81005013,6.577950478,-6.805950165
-1.734000087,6.577950478,-7.014000416
-1.734000087,6.616950512,-7.086000443
-1.734000087,6.616950512,-7.042950153
-1.426950097,6.922950268,-6.96105051
-1.350000024,6.922950268,-6.838050365
-1.504050016,6.76995039,-6.904950142
-1.389000058,6.96105051,-6.918000221
-1.887000084,6.76995039,-6.928050518
-1.504050016,6.732000351,-6.979050159
-1.771950126,6.693000317,-6.946950436
-1.618950129,6.76995039,-7.014000416
-1.771950126,6.808050156,-6.936000347
-1.542000055,6.732000351,-6.943950176
-1.734000087,6.885000229,-6.931950092
-1.618950129,6.885000229,-6.898050308
-1.504050016,6.76995039,-6.892950535
-1.542000055,6.922950268,-6.862050533
-1.657050133,6.808050156,-6.922950268
-1.579950094,6.76995039,-6.916050434
-1.579950094,6.808050156,-6.981000423
-1.887000084,6.76995039,-6.925050259
-2.077950001,6.540000439,-7.015050411
-0.8910000324,6.118950367,-7.296000481
-0.4309500158,5.697000504,-7.591050148
-1.465050101,4.738950253,-7.357050419
-2.422950029,5.199000359,-9.952950478
-3.916950226,3.705000162,-6.697050095
-0.8520000577,-1.006049991,-0.3760500252
-0.8520000577,-1.120950103,0.351000011
-0.9289500713,-1.2739501,0.5040000081
-0.8910000324,-1.389000058,0.5809500217
-1.006049991,-1.312050104,0.6960000396
-1.04400003,-1.465950012,0.7339500189
-1.159050107,-1.579950094,0.7339500189
-1.04400003,-1.618950129,0.886950016
4.16505003,-1.734000087,9.517050743
-35.13899994,8.914950371,45.28695297
1.752000093,-10.66005039,34.10100174
3.28395009,-6.714000225,14.29605103
13.35900021,-8.016000748,8.971050262
9.988050461,-8.782050133,4.258950233
3.169050217,-1.542000055,3.378000259
3.628950119,2.709000111,8.932050705
4.777950287,3.360000134,2.113049984
3.207000256,1.330050111,9.813000679
1.866000056,1.981050134,7.362000465
