Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
-0.201000005,9.067950249,3.477000237
-0.1249500066,9.145050049,3.478950262
-0.201000005,9.183000565,3.460050106
-0.201000005,9.10695076,3.49695015
-0.201000005,9.183000565,3.460050106
-0.1249500066,9.145050049,3.49695015
-0.1630500108,9.145050049,3.535050154
-0.1630500108,9.145050049,3.51300025
-0.1249500066,9.145050049,3.529950142
-0.1249500066,9.183000565,3.49905014
-0.1630500108,9.145050049,3.532950163
-0.1249500066,9.183000565,3.460050106
-0.1249500066,9.145050049,3.517050266
-0.1249500066,9.259950638,3.538050175
-0.1249500066,9.145050049,3.534000158
-0.1249500066,9.183000565,3.511950254
-0.201000005,9.10695076,3.493050098
-0.201000005,9.183000565,3.453000069
-0.1249500066,9.183000565,3.450000048
-0.1630500108,9.183000565,3.441000223
-0.1630500108,9.183000565,3.517050266
-0.2400000095,9.10695076,3.478050232
-0.1249500066,9.145050049,3.478050232
-0.1249500066,9.10695076,3.501000166
-0.1630500108,9.145050049,3.505950212
-0.1630500108,9.145050049,3.507000208
-0.2400000095,9.145050049,3.426000118
-0.1630500108,9.10695076,3.51300025
-0.1630500108,9.067950249,3.49695015
-0.1249500066,9.067950249,3.489000082
-0.1249500066,9.067950249,3.51300025
-0.1630500108,9.145050049,3.481050253
-0.1630500108,9.145050049,3.49695015
-0.1249500066,9.222000122,3.486000061
-0.1249500066,9.183000565,3.471000195
-0.2779500186,9.067950249,3.508950233
-0.1630500108,9.183000565,3.5239501
-0.201000005,9.183000565,3.492000103
-0.201000005,9.145050049,3.556950092
-0.1630500108,9.183000565,3.511050224
-0.201000005,9.145050049,3.559950113
-0.1249500066,9.145050049,3.559050083
-0.1630500108,9.067950249,3.487950087
-0.1249500066,9.030000687,3.565050125
-0.1630500108,9.10695076,3.541950226
-0.1630500108,9.067950249,3.576000214
-0.1630500108,9.10695076,3.573000193
-0.2400000095,9.183000565,3.573000193
-0.2779500186,9.145050049,3.556950092
-0.1249500066,9.183000565,3.55095005
-0.2400000095,9.067950249,3.547050238
-0.2400000095,9.10695076,3.549000263
-0.1249500066,9.10695076,3.565950155
-0.1630500108,9.10695076,3.505050182
-0.2400000095,9.10695076,3.504000187
-0.2400000095,9.145050049,3.490050077
-0.1630500108,9.10695076,3.508950233
-0.1630500108,9.183000565,3.505050182
-0.2400000095,9.067950249,3.492000103
-0.1249500066,9.10695076,3.447000265
-0.1249500066,9.030000687,3.441000223
-0.1249500066,9.145050049,3.483000278
-0.1630500108,9.183000565,3.484950066
-0.1249500066,9.10695076,3.463050127
-0.1630500108,9.145050049,3.487050056
-0.201000005,9.067950249,3.510000229
-0.1630500108,9.145050049,3.469950199
-0.2400000095,9.145050049,3.519000053
-0.1249500066,9.10695076,3.474000216
-0.1630500108,9.10695076,3.516000271
-0.201000005,9.145050049,3.516000271
-0.1630500108,9.183000565,3.457950115
-0.201000005,9.145050049,3.525000095
-0.08595000207,9.067950249,3.531000137
-0.2400000095,9.145050049,3.550050259
-0.1249500066,9.030000687,3.543000221
-0.1630500108,9.145050049,3.553950071
-0.1630500108,9.145050049,3.519000053
-0.1630500108,9.145050049,3.517050266
-0.201000005,9.10695076,3.520950079
-0.1249500066,9.222000122,3.478050232
-0.2400000095,9.145050049,3.468000174
-0.2400000095,9.067950249,3.454050064
-0.1249500066,9.222000122,3.493950129
-0.08595000207,9.145050049,3.499950171
-0.1249500066,9.067950249,3.45600009
-0.1630500108,9.145050049,3.498000145
-0.1630500108,9.145050049,3.517050266
-0.1630500108,9.10695076,3.517050266
-0.1630500108,9.10695076,3.502950191
-0.1630500108,9.145050049,3.556950092
-0.2400000095,9.145050049,3.58005023
-0.1630500108,9.145050049,3.537000179
-0.1630500108,9.067950249,3.502950191
-0.2400000095,9.145050049,3.508050203
-0.2779500186,9.145050049,3.538050175
-0.1630500108,9.067950249,3.49695015
-0.1249500066,9.183000565,3.531000137
-0.1249500066,9.145050049,3.490950108
-0.2400000095,9.145050049,3.535950184
-0.1249500066,9.145050049,3.55305028
-0.2400000095,9.10695076,3.552000284
-0.1249500066,9.10695076,3.508950233
-0.1630500108,9.222000122,3.535050154
-0.2400000095,9.145050049,3.535950184
-0.1249500066,9.145050049,3.481050253
-0.1630500108,9.145050049,3.478950262
-0.201000005,9.183000565,3.514950275
-0.1249500066,9.10695076,3.535950184
-0.08595000207,9.10695076,3.538950205
-0.1630500108,9.145050049,3.492000103
-0.201000005,9.183000565,3.502950191
-0.1249500066,9.10695076,3.532950163
-0.1630500108,9.222000122,3.475950241
-0.1249500066,9.145050049,3.508050203
-0.08595000207,9.10695076,3.550050259
-0.1630500108,9.067950249,3.552000284
